"À louer appartement centre bourg à proximité des commodités, au deuxième et dernier étage d’une résidence.
Il est composé d’une pièce de vie d’environ 27 M2 exposée Sud avec cuisine aménagée et équipée( plaque, four, hotte). 
Salle d’eau refaite à neuf avec meuble sous vasque, douche et WC.
Une chambre avec placards aménagés.
Ce bien possède aussi une place de parking sécurisé.
Chauffage individuel électrique, radiateurs et ballon d’eau chaude, neufs, de qualité.

Provision de charges de copropriété de 30 euro par mois comprenant les parties communes ainsi que la taxe d’ordures ménagères.

Vous apprécierez la proximité de la ville de VANNES, mais surtout le calme de la résidence.

Loyer 580 euros + 30 euros de provisions de charges 

Disponible au 29 janvier",,"['2 Pièces · ', '44 m² · ', 'Plescop 56890 ']",Appartement bourg
description,price,details,title
"Appartement équipé de 65 m2 situé au Centre Ville et à proximité de l'UTT, composé d' :
-- Une pièce à vivre avec canapé, table et chaises,
-- un coin cuisine équipé d'un réfrigérateur, d'une cuisinière et d'un micro ondes,
-- 3 chambres avec lit, penderie, bureau,
-- une salle de bains/WC avec baignoire et lave linge
Dispo de suite
Loyer : 570 € 
Charges (TEOM, Électricité des commun) : 30 €
Caution : un mois de loyer
Collocation possible",,"['4 Pièces · ', '65 m² · ', 'Nogent 52800 ']",F3 équipé pour étudiant avec possibilité de collocation
description,price,details,title
"Studio en hyper-centre au rez de chausser avec fenêtres donnant au premier étage. 
Louer meublé 
430 cc 
Premier contact par messagerie.",,"['1 Pièce · ', '25 m² · ', 'Castres 81100 ']",Grand studio hyper-centre 25m
description,price,details,title
"Dans petit immeuble de la fin du 16ème siècle, rue de Mortagne, à louer studio meublé au 1er étage.
libre de suite situé au centre de Rémalard en Perche.

Pièce avec lit gigogne, penderie, espace de travail, coin
cuisine américaine, plaque de cuisson gaz 4 feux, four mixte, réfrigérateur,
Lave-linge, télévision, salle d'eau douche et WC.

A 2 minutes a pied de toutes commerces.",,"['1 Pièce · ', 'Rémalard en Perche 61110 ']",Studio lumineux et meublé au centre de Rémalard En Perche
description,price,details,title
"Dans un immeuble classé et sécurisé, cours Sully proche cathédrale, T1 bis meublé en très bon état refait à neuf récemment. situé au 3ème étage, l'appartement comprend une entrée, une pièce de vie avec bureau cuisinette équipée, une table repas, un espace nuit avec lit 140cm, un placard avec penderie et étagères, salle d'eau avec douche italienne, un lavabo et un toilette.
Bail à partir du 1er février 2024
Loyer de 560 euros + 20 euros de provision de charges",,"['1 Pièce · ', '27 m² · ', 'Nantes 44000 ']",T1 bis hyper centre quartier Cathédrale
description,price,details,title
"ORLÉANS, hyper-centre quartier châtelet / charpenterie dans petite copropriété, appartement très lumineux en parfait état, comprenant une grande cuisine aménagée et équipée (plaque vitro, hotte, frigo) avec coin repas, accès direct sur terrasse privative sans vis-à-vis au calme, salon, salle d’eau avec douche et wc. L’appartement est lumineux et fonctionnel. Proche des transports (Tram et bus) proche des bords de Loire 
Loyer mensuel : 435 euros + 30 euros de charges.

Tram Orléans centre-ville studio F1 appartement calme
Terrasse privative",,"['1 Pièce · ', '22 m² · ', 'Orléans 45000 ']",Studio Orléans centre proche Tram
description,price,details,title
"A louer Appartement de 3 pièces situé à Ivry la Bataille.
Dans petit immeuble de deux étages proche du centre ville.
Surface 54 m2 comprenant Un séjour de 15m2 et deux chambres de 10 m2 environ
cuisine et salle de bain pratiques.
Chaudière au Gaz individuelle.. Cave de 6m2
places de parking devant l'immeuble et plusieurs parkings à proximité 
Faibles charges de copropriété: 720 euros par an 
LOYER=560 Euros hors charges",,"['3 Pièces · ', '54 m² · ', 'Ivry-la-Bataille 27540 ']",Location appartement F3
description,price,details,title
"F1 meublé, composé d'une cuisine équipée, d'une chambre (entièrement refaite), et d'une salle d'eau.
Situé dans un immeuble ancien et calme.
Commodités à proximité, docks à 200m, voie rapide à 5min.
Parking gratuit à proximité.
Loyer : 420 euros (hors charges)",,"['2 Pièces · ', '22 m² · ', 'Le Havre 76610 ']",F1 meublé
description,price,details,title
"Studio meublé à louer à l'année, refait à neuf dans petite résidence calme, à 50 m de la mer. Ce studio agréable se compose d'une entrée séparée avec placard et possibilité d'y ajouter un lit ou 1 armoire, d'un séjour avec un canapé-lit 2 pers, placard et coin cuisine équipée, lave-linge, d'une salle de bain et de WC séparés. Balcon et cour fermée. Parking privé sécurisé.
Diagnostics faits en avril 2023
Libre 1er Février
Loyer charges comprises (sans l’eau et électricité) : 520 €",,"['2 Pièces · ', '25 m² · ', ""Les Sables-d'Olonne 85100 ""]",Studio meublé à louer à l'année
description,price,details,title
F3 à louer dans la commune de Case-Pilote dans un quartier plutôt calme,,"['3 Pièces · ', 'Case-Pilote 97222 ']","Loue F3 mois, quinzaine à 650/semaine"
description,price,details,title
"Secteur Saint-Priest (les Mines) à 5 min de Privas. 
 Bel Appartement meublé de 77 m2 habitable au rez-de-chaussée d’une maison d’architecte, jouissant d’une terrasse de 50 m2, avec sa véranda de 7 m2. 

Initialement il s’agissait d’un gîte 3 étoiles. 

L’appartement est composé de 2 chambres avec placards intégrés de 9.5 et 13.5 m2, une agréable et lumineuse pièce de vie de 34 m2 comprenant cuisine, salon. 
Salle de bain avec douche et baignoire, WC séparés. Bel espace de rangement avec cave, placard et buanderie de 29m2. 

Le chauffage est collectif par pompe à chaleur air/eau installée en 2022, l’électricité a été refait et ne présente aucune anomalie au DPE de janvier 2024.

Ce logement est climatisé de mai à septembre. 

Espace en copropriété : entrée par portail électrique et son interphone, 2 places de parking attitrées. 

Le loyer toutes charges est de 1150 €/mois :
- 810€ loyer
- 80€ Provision de charge : eau + taxe ordures ménagères + entretien PAC et climatisation/ fosse septique. 
- 200€ charges non récupérables (électricité/espace vert).

Conditions :
Logement disponible uniquement pour locataire éligible au certificat Visale. (service de garantie gratuit).

Pas de garant requis. 

Caution : 1 mois de loyer

1er contact en nous décrivant votre situation.

Merci à vous,",,"['3 Pièces · ', '77 m² · ', 'Privas 07000 ']",T3 rare meublé toutes charges comprises et grande terrasse
description,price,details,title
"Loue à l année, 2 appartements type T4 l( haut 120 m2 et bas de villa 115 m2)avec entrée indépendante, entièrement meublé, toutes charges comprises, situé dans un cadre verdoyant et reposant, sur un terrain clôturé avec portail autonome, à 300 mètres à côté de Pierre et vacances quartier le helleux.
Les logements disposent ,de 3 chambres climatisées, avec moustiquaire, un grand séjour avec canapé, 1 cuisine équipée avec réfrigérateur,four, gaziniere,micro-onde,ustensiles de cuisine, 2 salles d eau avec wc lavabo.
Le linge de maison est fourni.
Le loyer mensuel pour les appartements toutes charges comprises ( eau, EDF, wifi , piscine, jardinier) est de 1650€ + 1 mois de caution.
Merci de m envoyer un mail si intéressé , documents à fournir pour votre dossier :
-carte d identité ou passeport 
-3 dernières fiches de paie 
-Dernier avis d imposition 
-Contrat de travail CDD ou CDI si moins de 6 mois 
-3 dernières quittances de loyer 
Possibilité de colocation .",,"['4 Pièces · ', '115 m² · ', 'Sainte-Anne 97180 ']",Loue appartement 2 T4 meublé à sainte Anne
description,price,details,title
"Appartement entièrement meublé à Belfort pour colocation étudiant(e)s UTBM. Disponible à partir du 1er février 2024. 

Petite copropriété à 1,5km de l’UTBM (site de Belfort) dans une rue très calme proche des commerces et du marché dans le quartier Vosges. Bus à 100m. Vélo Optymo à 100m.

Appartement en duplex (120m² disponible) très bien isolé (classe énergétique C). Velux neufs. 

Quatre chambres de 12/13 m² environ (chaque chambre est équipée d’un lit double, d’un chevet, d’un bureau, d’une chaise et d’un placard ou d’une armoire);
2 salles de bain ; 2 WC séparés ; Cuisine entièrement équipée ;
Salon avec TV+box ; Coin détente babyfoot/Fléchettes. 
Nombreux rangements. Garage à vélo, espace extérieur avec terrain de pétanque.
Bail individuel pour chaque colocataire. Aucune démarche administrative pour les divers abonnements. Loyer 330€ + 50€ de provisions sur charges (chauffage individuel gaz, électricité, eau, wifi…).
Possibilité de constituer le groupe des colocataires ou de postuler individuellement.
Ne pas forcément pré-constituer un groupe de 4 étudiants, le nombre de chambres disponibles variant au rythme des validations qui peuvent être individuelles. 
Le retour d’expérience de colocation des précédents étudiants indique un appartement grand confort pour 4 personnes.
Les photos fournies donnent un aperçu des pièces.",,['Belfort 90000 '],Appartement pour colocation étudiant(e)s UTBM
description,price,details,title
"Particulier loue appartement 48 rue d’Auxonne
33 m² dans la petite copropriété bien isolé, 2ème et dernier étage, double vitrage, volets, chambre avec grand placard, verrière, salon cuisine équipée avec meuble haut et bas, four, hotte, plaque d’induction deux foyers, salle d’eau avec meuble sous vasque, douche, WC séparé, branchement machine à laver.
Chauffage électrique de qualité.
Proche de toutes commodités.
Libre.
Charges comprises pour ordures ménagères et parties communes.
Loyer 590 € plus l’eau et électricité.",,['Dijon 21000 '],Appartement 33m²
description,price,details,title
"Centre ville Auxerre, proche bus gare et IUT chambre meublée toutes charges comprises .residence sécurisée",,"['1 Pièce · ', '10 m² · ', 'Auxerre 89000 ', '· Quartier Centre-ville']",Chambre meublée avec sanitaires
description,price,details,title
"Dans un immeuble situé rue thumesnil, appartement 2 pièces situé au 3 em etage sans ascenseur à louer pour mi-fevrier. 

Il comporte une grande pièce principale pour le salon, une cuisine aménagée séparée avec un coin repas, une salle de bain avec baignoire, une chambre en mezzanine.

Belle surface, beau volume
La garantie visale est demandée pour visiter: merci de vous renseigner , cela se fait sur internet, c'est gratuit facile et rapide. 

Merci de vous présenter dans vos messages si vous souhaitez une réponse. 

Loyer+charges: 550€ charges immeuble comprises
EDF/eau",,"['2 Pièces · ', '30 m² · ', 'Lille 59000 ']","T1 bis en mezzanine, quartier moulins"
description,price,details,title
"Location studio pour étudiants, plaque induction , télé,four,BZ,grande douche ,... 
Laverie a 20 mètres et Intermarché, lidel , métro chartreux a 200 mètre . Pas loin de la Timone et du centre ville",,"['1 Pièce · ', '11 m² · ', 'Marseille 13004 ']",Location studio étudiant
description,price,details,title
